Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C22",0603,3,22uF,
"C10, C12, C13, C15, C6, C7, C8, C9",0603,8,1uF,
C11,0603,1,10uF,
"C14, C3",0603,2,15p,
"C16, C17, C18, C19, C20, C21, C4, C5",0603,8,0.1uF,
"D1, D2, D3",0603,3,ORANGE,
IC1,SOT96P240X110-3N,1,AP7370-33SA-7,
IC2,SOT65P280X100-8N,1,MP2315GJ-P,
"J1, J2, J3",JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,3,Conn_01x05,
J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
"J5, J6",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,2,Conn_01x03,
L1,L_Bourns_SRP7028A_7.3x6.6mm,1,5.5uH,
R1,0805,1,40.2k,
"R10, R11, R3",0603,3,1k,
R12,0603,1,2.2k,
R2,0603,1,7.5k,
R4,0805,1,75k,
R5,0603,1,20,
R6,0805,1,100k,
R7,0805,1,DNF (10k),
R8,0603,1,120,
R9,0603,1,20k,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
"U2, U3, U4",SON50P200X200X80-9N,3,DRV8837DSGR,
U5,SOT95P255X145-3N,1,"TL431IDBZR,215",
U6,SOIC127P790X216-8N,1,W25Q32JVSSIQ,
Y1,ABM8272T3,1,ABM8-272-T3,
